XAl,XFe,a-Al(A1),a-Fe-alpha(A2)
1.0,0.0,1.0,1e-08
0.999,0.001,0.99995948,1.73272e-07
0.998,0.002,0.99995948,1.73272e-07
0.997,0.003,0.99995948,1.73272e-07
0.996,0.004,0.99995948,1.73272e-07
0.995,0.005,0.99995948,1.73272e-07
0.994,0.006,0.99995948,1.73272e-07
0.993,0.007,0.99995948,1.73272e-07
0.992,0.008,0.99995948,1.73272e-07
0.991,0.009000000000000001,0.99995948,1.73272e-07
0.99,0.010000000000000002,0.99995948,1.73272e-07
0.989,0.011000000000000003,0.99995948,1.73272e-07
0.988,0.012000000000000004,0.99995948,1.73272e-07
0.987,0.013000000000000005,0.99995948,1.73272e-07
0.986,0.014000000000000005,0.99995948,1.73272e-07
0.985,0.015000000000000006,0.99995948,1.73272e-07
0.984,0.016000000000000007,0.99995948,1.73272e-07
0.983,0.017000000000000008,0.99995948,1.73272e-07
0.982,0.01800000000000001,0.99995948,1.73272e-07
0.981,0.01900000000000001,0.99995948,1.73272e-07
0.98,0.02000000000000001,0.99995948,1.73272e-07
0.979,0.02100000000000001,0.99995948,1.73272e-07
0.978,0.022000000000000013,0.99995948,1.73272e-07
0.977,0.023000000000000013,0.99995948,1.73272e-07
0.976,0.024000000000000014,0.99995948,1.73272e-07
0.975,0.025000000000000015,0.99995948,1.73272e-07
0.974,0.026000000000000016,0.99995948,1.73272e-07
0.973,0.027000000000000017,0.99995948,1.73272e-07
0.972,0.028000000000000018,0.99995948,1.73272e-07
0.971,0.02900000000000002,0.99995948,1.73272e-07
0.97,0.03000000000000002,0.99995948,1.73272e-07
0.969,0.03100000000000002,0.99995948,1.73272e-07
0.968,0.03200000000000002,0.99995948,1.73272e-07
0.967,0.03300000000000002,0.99995948,1.73272e-07
0.966,0.03400000000000002,0.99995948,1.73272e-07
0.965,0.035000000000000024,0.99995948,1.73272e-07
0.964,0.036000000000000025,0.99995948,1.73272e-07
0.963,0.037000000000000026,0.99995948,1.73272e-07
0.962,0.03800000000000003,0.99995948,1.73272e-07
0.961,0.03900000000000003,0.99995948,1.73272e-07
0.96,0.04000000000000003,0.99995948,1.73272e-07
0.959,0.04100000000000003,0.99995948,1.73272e-07
0.958,0.04200000000000003,0.99995948,1.73272e-07
0.957,0.04300000000000003,0.99995948,1.73272e-07
0.956,0.04400000000000003,0.99995948,1.73272e-07
0.955,0.04500000000000003,0.99995948,1.73272e-07
0.954,0.046000000000000034,0.99995948,1.73272e-07
0.953,0.047000000000000035,0.99995948,1.73272e-07
0.952,0.048000000000000036,0.99995948,1.73272e-07
0.951,0.04900000000000004,0.99995948,1.73272e-07
0.95,0.05000000000000004,0.99995948,1.73272e-07
0.949,0.05100000000000004,0.99995948,1.73272e-07
0.948,0.05200000000000004,0.99995948,1.73272e-07
0.947,0.05300000000000004,0.99995948,1.73272e-07
0.946,0.05400000000000004,0.99995948,1.73272e-07
0.945,0.05500000000000004,0.99995948,1.73272e-07
0.944,0.05600000000000004,0.99995948,1.73272e-07
0.943,0.057000000000000044,0.99995948,1.73272e-07
0.942,0.058000000000000045,0.99995948,1.73272e-07
0.941,0.059000000000000045,0.99995948,1.73272e-07
0.94,0.060000000000000046,0.99995948,1.73272e-07
0.939,0.06100000000000005,0.99995948,1.73272e-07
0.938,0.06200000000000005,0.99995948,1.73272e-07
0.9369999999999999,0.06300000000000004,0.99995948,1.73272e-07
0.9359999999999999,0.06400000000000004,0.99995948,1.73272e-07
0.9349999999999999,0.06500000000000004,0.99995948,1.73272e-07
0.9339999999999999,0.06600000000000004,0.99995948,1.73272e-07
0.9329999999999999,0.06700000000000005,0.99995948,1.73272e-07
0.9319999999999999,0.06800000000000005,0.99995948,1.73272e-07
0.9309999999999999,0.06900000000000005,0.99995948,1.73272e-07
0.9299999999999999,0.07000000000000005,0.99995948,1.73272e-07
0.9289999999999999,0.07100000000000005,0.99995948,1.73272e-07
0.9279999999999999,0.07200000000000005,0.99995948,1.73272e-07
0.9269999999999999,0.07300000000000005,0.99995948,1.73272e-07
0.9259999999999999,0.07400000000000005,0.99995948,1.73272e-07
0.9249999999999999,0.07500000000000005,0.99995948,1.73272e-07
0.9239999999999999,0.07600000000000005,0.99995948,1.73272e-07
0.9229999999999999,0.07700000000000005,0.99995948,1.73272e-07
0.9219999999999999,0.07800000000000006,0.99995948,1.73272e-07
0.9209999999999999,0.07900000000000006,0.99995948,1.73272e-07
0.9199999999999999,0.08000000000000006,0.99995948,1.73272e-07
0.9189999999999999,0.08100000000000006,0.99995948,1.73272e-07
0.9179999999999999,0.08200000000000006,0.99995948,1.73272e-07
0.9169999999999999,0.08300000000000006,0.99995948,1.73272e-07
0.9159999999999999,0.08400000000000006,0.99995948,1.73272e-07
0.9149999999999999,0.08500000000000006,0.99995948,1.73272e-07
0.9139999999999999,0.08600000000000006,0.99995948,1.73272e-07
0.9129999999999999,0.08700000000000006,0.99995948,1.73272e-07
0.9119999999999999,0.08800000000000006,0.99995948,1.73272e-07
0.9109999999999999,0.08900000000000007,0.99995948,1.73272e-07
0.9099999999999999,0.09000000000000007,0.99995948,1.73272e-07
0.9089999999999999,0.09100000000000007,0.99995948,1.73272e-07
0.9079999999999999,0.09200000000000007,0.99995948,1.73272e-07
0.9069999999999999,0.09300000000000007,0.99995948,1.73272e-07
0.9059999999999999,0.09400000000000007,0.99995948,1.73272e-07
0.9049999999999999,0.09500000000000007,0.99995948,1.73272e-07
0.9039999999999999,0.09600000000000007,0.99995948,1.73272e-07
0.9029999999999999,0.09700000000000007,0.99995948,1.73272e-07
0.9019999999999999,0.09800000000000007,0.99995948,1.73272e-07
0.9009999999999999,0.09900000000000007,0.99995948,1.73272e-07
0.8999999999999999,0.10000000000000007,0.99995948,1.73272e-07
0.8989999999999999,0.10100000000000008,0.99995948,1.73272e-07
0.8979999999999999,0.10200000000000008,0.99995948,1.73272e-07
0.8969999999999999,0.10300000000000008,0.99995948,1.73272e-07
0.8959999999999999,0.10400000000000008,0.99995948,1.73272e-07
0.8949999999999999,0.10500000000000008,0.99995948,1.73272e-07
0.8939999999999999,0.10600000000000008,0.99995948,1.73272e-07
0.8929999999999999,0.10700000000000008,0.99995948,1.73272e-07
0.8919999999999999,0.10800000000000008,0.99995948,1.73272e-07
0.8909999999999999,0.10900000000000008,0.99995948,1.73272e-07
0.8899999999999999,0.11000000000000008,0.99995948,1.73272e-07
0.8889999999999999,0.11100000000000008,0.99995948,1.73272e-07
0.8879999999999999,0.11200000000000009,0.99995948,1.73272e-07
0.8869999999999999,0.11300000000000009,0.99995948,1.73272e-07
0.8859999999999999,0.11400000000000009,0.99995948,1.73272e-07
0.8849999999999999,0.11500000000000009,0.99995948,1.73272e-07
0.8839999999999999,0.11600000000000009,0.99995948,1.73272e-07
0.8829999999999999,0.11700000000000009,0.99995948,1.73272e-07
0.8819999999999999,0.11800000000000009,0.99995948,1.73272e-07
0.8809999999999999,0.11900000000000009,0.99995948,1.73272e-07
