a-Al(650K),a-Fe(650K),a-Al(700K),a-Fe(700K),a-Al(750K),a-Fe(750K),a-Al(800K),a-Fe(800K)
4.034891200018599e-12,2.53025959998796e-09,4.034891200018599e-12,9.120758836033088e-09,4.034891200018599e-12,2.771073712159197e-08,4.034891200018599e-12,7.327199999968679e-08
5.065533432412906e-12,2.53025959998796e-09,6.556415617336145e-12,1.4499748426936721e-08,8.199151808263445e-12,6.58359542904224e-08,9.970881904146108e-12,2.474161071231231e-07
7.400836022690207e-12,2.53025959998796e-09,1.0195352444084494e-11,1.8745968801758723e-08,1.345780332110371e-11,1.0633714372058376e-07,1.7158314300035102e-11,4.855567031131049e-07
1.5403341132691205e-11,2.53025959998796e-09,1.897432910090969e-11,1.9101606598999457e-08,2.2732353005861928e-11,1.1013382842961675e-07,2.6626409609095285e-11,5.101116253096129e-07
2.086120593619281e-11,2.53025959998796e-09,2.6277309390958208e-11,1.9101606598999457e-08,3.209643870424965e-11,1.1013382842961675e-07,3.823607513034652e-11,5.101116253096129e-07
2.618983533180468e-11,2.53025959998796e-09,3.4045245171386294e-11,1.9101606598999457e-08,4.2735652356027515e-11,1.1013382842961675e-07,5.214137452346253e-11,5.101116253096129e-07
3.2879569704886674e-11,2.53025959998796e-09,4.324929917497993e-11,1.9101606598999457e-08,5.4847684407283375e-11,1.1013382842961675e-07,6.752119451036515e-11,5.101116253096129e-07
4.024782750826058e-11,2.53025959998796e-09,5.355868320960481e-11,1.9101606598999457e-08,6.860761871531041e-11,1.1013382842961675e-07,8.520635627769756e-11,5.101116253096129e-07
4.803764640569524e-11,2.53025959998796e-09,6.465601228015189e-11,1.9101606598999457e-08,8.364355525481402e-11,1.1013382842961675e-07,1.0477993064416008e-10,5.101116253096129e-07
5.7335156083268926e-11,2.53025959998796e-09,7.882508029268349e-11,1.9101606598999457e-08,1.0386647386404004e-10,1.1013382842961675e-07,1.3222390637429003e-10,5.101116253096129e-07
6.672417879657785e-11,2.53025959998796e-09,9.185338655829051e-11,1.9101606598999457e-08,1.21171044211864e-10,1.1013382842961675e-07,1.5440614076294428e-10,5.101116253096129e-07
7.765071799249654e-11,2.53025959998796e-09,1.0598622960325892e-10,1.9101606598999457e-08,1.3878404692556848e-10,1.1013382842961675e-07,1.7570874988352878e-10,5.101116253096129e-07
9.036655247766756e-11,2.53025959998796e-09,1.2350376404890927e-10,1.9101606598999457e-08,1.6190602472875128e-10,1.1013382842961675e-07,2.0518611733492423e-10,5.101116253096129e-07
1.0253990545613527e-10,2.53025959998796e-09,1.4029401790054006e-10,1.9101606598999457e-08,1.8409100205029843e-10,1.1013382842961675e-07,2.3349457471206287e-10,5.101116253096129e-07
1.1933151408017008e-10,2.53025959998796e-09,1.6188008466878115e-10,1.9101606598999457e-08,2.1084983160211235e-10,1.1013382842961675e-07,2.6570860216129956e-10,5.101116253096129e-07
