a-Al(650K),a-Fe(650K),a-Al(800K),a-Fe(800K)
4.034891200018599e-12,2.53025959998796e-09,4.034891200018599e-12,7.327199999968679e-08
5.065533432412906e-12,2.53025959998796e-09,9.970881904146108e-12,2.474161071231231e-07
7.400836022690207e-12,2.53025959998796e-09,1.7158314300035102e-11,4.855567031131049e-07
1.5403341132691205e-11,2.53025959998796e-09,2.6626409609095285e-11,5.101116253096129e-07
2.086120593619281e-11,2.53025959998796e-09,3.823607513034652e-11,5.101116253096129e-07
2.618983533180468e-11,2.53025959998796e-09,5.214137452346253e-11,5.101116253096129e-07
3.2879569704886674e-11,2.53025959998796e-09,6.752119451036515e-11,5.101116253096129e-07
4.024782750826058e-11,2.53025959998796e-09,8.520635627769756e-11,5.101116253096129e-07
4.803764640569524e-11,2.53025959998796e-09,1.0477993064416009e-10,5.101116253096129e-07
5.7335156083268926e-11,2.53025959998796e-09,1.3222390637429003e-10,5.101116253096129e-07
6.672417879657785e-11,2.53025959998796e-09,1.5440614076294428e-10,5.101116253096129e-07
7.765071799249654e-11,2.53025959998796e-09,1.7570874988352878e-10,5.101116253096129e-07
9.036655247766756e-11,2.53025959998796e-09,2.0518611733492426e-10,5.101116253096129e-07
1.0253990545613527e-10,2.53025959998796e-09,2.3349457471206287e-10,5.101116253096129e-07
1.1933151408017008e-10,2.53025959998796e-09,2.6570860216129956e-10,5.101116253096129e-07
1.3202716865782839e-10,2.53025959998796e-09,2.946515100346969e-10,5.101116253096129e-07
1.5364751767199948e-10,2.53025959998796e-09,3.353030405634976e-10,5.101116253096129e-07
1.6999404462352927e-10,2.53025959998796e-09,3.718266793684155e-10,5.101116253096129e-07
1.9783172843099203e-10,2.53025959998796e-09,4.123287377823841e-10,5.101116253096129e-07
2.1887900423253437e-10,2.53025959998796e-09,4.572425741208296e-10,5.101116253096129e-07
2.421654952609746e-10,2.53025959998796e-09,5.070487512296158e-10,5.101116253096129e-07
2.74787809294099e-10,2.53025959998796e-09,5.622801783448398e-10,5.101116253096129e-07
3.04022426283921e-10,2.53025959998796e-09,6.235278130412593e-10,5.101116253096129e-07
3.3636730800032283e-10,2.53025959998796e-09,6.738032830187478e-10,5.101116253096129e-07
3.8167962609187355e-10,2.53025959998796e-09,7.281324981998848e-10,5.101116253096129e-07
4.2228644089300605e-10,2.53025959998796e-09,8.074459703404392e-10,5.101116253096129e-07
4.672134061438159e-10,2.53025959998796e-09,8.953988410499935e-10,5.101116253096129e-07
5.169201417381373e-10,2.53025959998796e-09,9.929321762738328e-10,5.101116253096129e-07
5.576408415020821e-10,2.53025959998796e-09,1.0456133333315675e-09,5.101116253096129e-07
6.169681328439901e-10,2.53025959998796e-09,1.1595091204142867e-09,5.101116253096129e-07
