,X_Cu/,X_Al,a-Al(500),a-Cu(500),a-Al(600),a-Cu(600),a-Al(700),a-Cu(700),a-Al(800),a-Cu(800)
,0,1,0.99999984,0,0.99999984,0,0.99900041,0,0.99900008,0
,0.001,0.999,0.99900992,0.00011524557,0.99900871,0.00014761897,0.99900041,0.000018104857,0.99900008,0.000022768323
,0.002,0.998,0.99804,0.00022590944,0.99803518,0.00029006714,0.99800162,0.000036180585,0.99800029,0.000045530206
,0.003,0.997,0.99708988,0.0003321607,0.99707908,0.00042751719,0.99700357,0.000054228401,0.9970006,0.000068286857
,0.004,0.996,0.99615935,0.00043416215,0.99614021,0.00056013594,0.99600623,0.000072249518,0.99600097,0.000091039479
,0.005,0.995,0.99524819,0.00053207061,0.99521839,0.00068808462,0.99500954,0.000090245145,0.99500136,0.00011378928
,0.006,0.994,0.9943562,0.00062603706,0.99431343,0.00081151902,0.99401348,0.00010821649,0.99400175,0.00013653745
,0.007,0.993,0.99348317,0.00071620693,0.99342516,0.00093058969,0.99301798,0.00012616474,0.99300209,0.00015928521
,0.008,0.992,0.99262889,0.00080272028,0.99255338,0.0010454421,0.99202302,0.00014409111,0.99200235,0.00018203375
,0.009,0.991,0.99179316,0.00088571202,0.99169793,0.001156217,0.99102853,0.00016199678,0.9910025,0.00020478427
,0.01,0.99,0.99097579,0.00096531208,0.99085861,0.0012630502,0.99003449,0.00017988295,0.9900025,0.00022753797
,0.011,0.989,0.99017656,0.0010416456,0.99031296,0.0013315232,0.98904085,0.0001977508,0.98900232,0.00025029606
,0.012,0.988,0.98939528,0.0011148332,0.99031296,0.0013315232,0.98804755,0.00021560151,0.98800192,0.00027305974
,0.013,0.987,0.98863176,0.0011849911,0.99031296,0.0013315232,0.98705457,0.00023343627,0.98700126,0.0002958302
,0.014,0.986,0.9878858,0.001252231,0.99031296,0.0013315232,0.98606185,0.00025125624,0.98600031,0.00031860864
,0.015,0.985,0.9871572,0.0013166609,0.99031296,0.0013315232,0.98506935,0.00026906261,0.98499904,0.00034139626
,0.016,0.984,0.98644578,0.0013783845,0.99031296,0.0013315232,0.98407703,0.00028685654,0.98399742,0.00036419427
,0.017,0.983,0.98618661,0.0014005782,0.99031296,0.0013315232,0.98308485,0.0003046392,0.9829954,0.00038700386
,0.018,0.982,0.98618661,0.0014005782,0.99031296,0.0013315232,0.98209275,0.00032241175,0.98199295,0.00040982623
,0.019,0.981,0.98618661,0.0014005782,0.99031296,0.0013315232,0.98110071,0.00034017536,0.98099004,0.00043266259
,0.02,0.98,0.98618661,0.0014005782,0.99031296,0.0013315232,0.98010867,0.00035793119,0.97998663,0.00045551413
,0.021,0.979,0.98618661,0.0014005782,0.99031296,0.0013315232,0.97911659,0.0003756804,0.97898269,0.00047838206
,0.022,0.978,0.98618661,0.0014005782,0.99031296,0.0013315232,0.97812444,0.00039342414,0.97797819,0.00050126758
,0.023,0.977,0.98618661,0.0014005782,0.99031296,0.0013315232,0.97713216,0.00041116356,0.97697308,0.00052417188
,0.024,0.976,0.98618661,0.0014005782,0.99031296,0.0013315232,0.97613971,0.00042889982,0.97596735,0.00054709619
,0.025,0.975,0.98618661,0.0014005782,0.99031296,0.0013315232,0.97514705,0.00044663406,0.97496094,0.00057004169
,0.026,0.974,0.98618661,0.0014005782,0.99031296,0.0013315232,0.97415414,0.00046436745,0.97395384,0.0005930096
,0.027,0.973,0.98618661,0.0014005782,0.99031296,0.0013315232,0.97316094,0.00048210111,0.97294599,0.00061600113
,0.028,0.972,0.98618661,0.0014005782,0.99031296,0.0013315232,0.9721674,0.0004998362,0.97193738,0.00063901748
,0.029,0.971,0.98618661,0.0014005782,0.99031296,0.0013315232,0.97117348,0.00051757386,0.97092796,0.00066205985
,0.03,0.97,0.98618661,0.0014005782,0.99031296,0.0013315232,0.97017914,0.00053531523,0.96991771,0.00068512948
,0.031,0.969,0.98618661,0.0014005782,0.99031296,0.0013315232,0.96918433,0.00055306146,0.96890658,0.00070822755
,0.032,0.968,0.98618661,0.0014005782,0.99031296,0.0013315232,0.96818902,0.00057081369,0.96789455,0.0007313553
,0.033,0.967,0.98618661,0.0014005782,0.99031296,0.0013315232,0.96719316,0.00058857305,0.96688157,0.00075451393
,0.034,0.966,0.98618661,0.0014005782,0.99031296,0.0013315232,0.96619671,0.00060634068,0.96586763,0.00077770466
,0.035,0.965,0.98618661,0.0014005782,0.99031296,0.0013315232,0.96519963,0.00062411773,0.96485268,0.00080092872
,0.036,0.964,0.98618661,0.0014005782,0.99031296,0.0013315232,0.96420187,0.00064190532,0.96383669,0.00082418732
,0.037,0.963,0.98618661,0.0014005782,0.99031296,0.0013315232,0.96320339,0.00065970461,0.96281962,0.00084748169
,0.038,0.962,0.98618661,0.0014005782,0.99031296,0.0013315232,0.96220416,0.00067751671,0.96180145,0.00087081305
,0.039,0.961,0.98618661,0.0014005782,0.99031296,0.0013315232,0.96120413,0.00069534278,0.96078214,0.00089418264
,0.04,0.96,0.98618661,0.0014005782,0.99031296,0.0013315232,0.96020326,0.00071318395,0.95976166,0.00091759167
,0.041,0.959,0.98618661,0.0014005782,0.99031296,0.0013315232,0.95920151,0.00073104135,0.95873997,0.00094104139
,0.042,0.958,0.98618661,0.0014005782,0.99031296,0.0013315232,0.95819883,0.00074891612,0.95771705,0.00096453304
