X_Cu/;X_Al;a-Al(500);a-Cu(500);a-Al(600);a-Cu(600);a-Al(700);a-Cu(700);a-Al(800);a-Cu(800)
0;1;0.99999984;0.000115246;0.99999984;0.000147619;0.99900041;1.81049E-05;0.99900008;2.27683E-05
0.001;0.999;0.99900992;0.000115246;0.99900871;0.000147619;0.99900041;1.81049E-05;0.99900008;2.27683E-05
0.002;0.998;0.99804;0.000225909;0.99803518;0.000290067;0.99800162;3.61806E-05;0.99800029;4.55302E-05
0.003;0.997;0.99708988;0.000332161;0.99707908;0.000427517;0.99700357;5.42284E-05;0.9970006;6.82869E-05
0.004;0.996;0.99615935;0.000434162;0.99614021;0.000560136;0.99600623;7.22495E-05;0.99600097;9.10395E-05
0.005;0.995;0.99524819;0.000532071;0.99521839;0.000688085;0.99500954;9.02451E-05;0.99500136;0.000113789
0.006;0.994;0.9943562;0.000626037;0.99431343;0.000811519;0.99401348;0.000108216;0.99400175;0.000136537
0.007;0.993;0.99348317;0.000716207;0.99342516;0.00093059;0.99301798;0.000126165;0.99300209;0.000159285
0.008;0.992;0.99262889;0.00080272;0.99255338;0.001045442;0.99202302;0.000144091;0.99200235;0.000182034
0.009;0.991;0.99179316;0.000885712;0.99169793;0.001156217;0.99102853;0.000161997;0.9910025;0.000204784
0.01;0.99;0.99097579;0.000965312;0.99085861;0.00126305;0.99003449;0.000179883;0.9900025;0.000227538
0.011;0.989;0.99017656;0.001041646;0.99031296;0.001331523;0.98904085;0.000197751;0.98900232;0.000250296
0.012;0.988;0.98939528;0.001114833;0.99031296;0.001331523;0.98804755;0.000215602;0.98800192;0.00027306
0.013;0.987;0.98863176;0.001184991;0.99031296;0.001331523;0.98705457;0.000233436;0.98700126;0.00029583
0.014;0.986;0.9878858;0.001252231;0.99031296;0.001331523;0.98606185;0.000251256;0.98600031;0.000318609
0.015;0.985;0.9871572;0.001316661;0.99031296;0.001331523;0.98506935;0.000269063;0.98499904;0.000341396
0.016;0.984;0.98644578;0.001378385;0.99031296;0.001331523;0.98407703;0.000286857;0.98399742;0.000364194
0.017;0.983;0.98618661;0.001400578;0.99031296;0.001331523;0.98308485;0.000304639;0.9829954;0.000387004
0.018;0.982;0.98618661;0.001400578;0.99031296;0.001331523;0.98209275;0.000322412;0.98199295;0.000409826
0.019;0.981;0.98618661;0.001400578;0.99031296;0.001331523;0.98110071;0.000340175;0.98099004;0.000432663
0.02;0.98;0.98618661;0.001400578;0.99031296;0.001331523;0.98010867;0.000357931;0.97998663;0.000455514
0.021;0.979;0.98618661;0.001400578;0.99031296;0.001331523;0.97911659;0.00037568;0.97898269;0.000478382
0.022;0.978;0.98618661;0.001400578;0.99031296;0.001331523;0.97812444;0.000393424;0.97797819;0.000501268
0.023;0.977;0.98618661;0.001400578;0.99031296;0.001331523;0.97713216;0.000411164;0.97697308;0.000524172
0.024;0.976;0.98618661;0.001400578;0.99031296;0.001331523;0.97613971;0.0004289;0.97596735;0.000547096
0.025;0.975;0.98618661;0.001400578;0.99031296;0.001331523;0.97514705;0.000446634;0.97496094;0.000570042
0.026;0.974;0.98618661;0.001400578;0.99031296;0.001331523;0.97415414;0.000464367;0.97395384;0.00059301
0.027;0.973;0.98618661;0.001400578;0.99031296;0.001331523;0.97316094;0.000482101;0.97294599;0.000616001
0.028;0.972;0.98618661;0.001400578;0.99031296;0.001331523;0.9721674;0.000499836;0.97193738;0.000639017
0.029;0.971;0.98618661;0.001400578;0.99031296;0.001331523;0.97117348;0.000517574;0.97092796;0.00066206
0.03;0.97;0.98618661;0.001400578;0.99031296;0.001331523;0.97017914;0.000535315;0.96991771;0.000685129
0.031;0.969;0.98618661;0.001400578;0.99031296;0.001331523;0.96918433;0.000553061;0.96890658;0.000708228
0.032;0.968;0.98618661;0.001400578;0.99031296;0.001331523;0.96818902;0.000570814;0.96789455;0.000731355
0.033;0.967;0.98618661;0.001400578;0.99031296;0.001331523;0.96719316;0.000588573;0.96688157;0.000754514
0.034;0.966;0.98618661;0.001400578;0.99031296;0.001331523;0.96619671;0.000606341;0.96586763;0.000777705
0.035;0.965;0.98618661;0.001400578;0.99031296;0.001331523;0.96519963;0.000624118;0.96485268;0.000800929
0.036;0.964;0.98618661;0.001400578;0.99031296;0.001331523;0.96420187;0.000641905;0.96383669;0.000824187
0.037;0.963;0.98618661;0.001400578;0.99031296;0.001331523;0.96320339;0.000659705;0.96281962;0.000847482
0.038;0.962;0.98618661;0.001400578;0.99031296;0.001331523;0.96220416;0.000677517;0.96180145;0.000870813
0.039;0.961;0.98618661;0.001400578;0.99031296;0.001331523;0.96120413;0.000695343;0.96078214;0.000894183
0.04;0.96;0.98618661;0.001400578;0.99031296;0.001331523;0.96020326;0.000713184;0.95976166;0.000917592
0.041;0.959;0.98618661;0.001400578;0.99031296;0.001331523;0.95920151;0.000731041;0.95873997;0.000941041
0.042;0.958;0.98618661;0.001400578;0.99031296;0.001331523;0.95819883;0.000748916;0.95771705;0.000964533
0.043;0.957;0.98618661;0.001400578;0.99031296;0.001331523;0.95719519;0.000766809;0.95669285;0.000988068
0.044;0.956;0.98618661;0.001400578;0.99031296;0.001331523;0.95619054;0.000784722;0.95566734;0.001011647
0.045;0.955;0.98618661;0.001400578;0.99031296;0.001331523;0.95518485;0.000802656;0.9546405;0.001035272
0.046;0.954;0.98618661;0.001400578;0.99031296;0.001331523;0.95417806;0.000820612;0.95361229;0.001058944
0.047;0.953;0.98618661;0.001400578;0.99031296;0.001331523;0.95317015;0.00083859;0.95258268;0.001082664
0.048;0.952;0.98618661;0.001400578;0.99031296;0.001331523;0.95216107;0.000856593;0.95155163;0.001106433
0.049;0.951;0.98618661;0.001400578;0.99031296;0.001331523;0.95115078;0.000874622;0.95051911;0.001130253
0.05;0.95;0.98618661;0.001400578;0.99031296;0.001331523;0.95013924;0.000892676;0.9494851;0.001154125
0.051;0.949;0.98618661;0.001400578;0.99031296;0.001331523;0.94912641;0.000910759;0.94844955;0.00117805
0.052;0.948;0.98618661;0.001400578;0.99031296;0.001331523;0.94811224;0.00092887;0.94741243;0.001202029
0.053;0.947;0.98618661;0.001400578;0.99031296;0.001331523;0.94709671;0.000947011;0.94637372;0.001226064
0.054;0.946;0.98618661;0.001400578;0.99031296;0.001331523;0.94607976;0.000965183;0.94533338;0.001250156
0.055;0.945;0.98618661;0.001400578;0.99031296;0.001331523;0.94506136;0.000983387;0.94429138;0.001274307
0.056;0.944;0.98618661;0.001400578;0.99031296;0.001331523;0.94404146;0.001001625;0.94324769;0.001298517
0.057;0.943;0.98618661;0.001400578;0.99031296;0.001331523;0.94302004;0.001019897;0.94220227;0.001322787
0.058;0.942;0.98618661;0.001400578;0.99031296;0.001331523;0.94199704;0.001038205;0.9411551;0.00134712
0.059;0.941;0.98618661;0.001400578;0.99031296;0.001331523;0.94097243;0.00105655;0.94010614;0.001371516
0.06;0.94;0.98618661;0.001400578;0.99031296;0.001331523;0.93994618;0.001074932;0.93905536;0.001395977
0.061;0.939;0.98618661;0.001400578;0.99031296;0.001331523;0.93891823;0.001093354;0.93800273;0.001420504
0.062;0.938;0.98618661;0.001400578;0.99031296;0.001331523;0.93788855;0.001111816;0.93694821;0.001445099
0.063;0.937;0.98618661;0.001400578;0.99031296;0.001331523;0.9368571;0.00113032;0.93589179;0.001469762
0.064;0.936;0.98618661;0.001400578;0.99031296;0.001331523;0.93582385;0.001148866;0.93483342;0.001494495
0.065;0.935;0.98618661;0.001400578;0.99031296;0.001331523;0.93478875;0.001167456;0.93377307;0.001519299
0.066;0.934;0.98618661;0.001400578;0.99031296;0.001331523;0.93375176;0.001186091;0.93271072;0.001544176
0.067;0.933;0.98618661;0.001400578;0.99031296;0.001331523;0.93271285;0.001204772;0.93164634;0.001569126
0.068;0.932;0.98618661;0.001400578;0.99031296;0.001331523;0.93167197;0.001223501;0.93057988;0.001594152
0.069;0.931;0.98618661;0.001400578;0.99031296;0.001331523;0.9306291;0.001242278;0.92951133;0.001619255
0.07;0.93;0.98618661;0.001400578;0.99031296;0.001331523;0.92958418;0.001261105;0.92844064;0.001644435
0.071;0.929;0.98618661;0.001400578;0.99031296;0.001331523;0.92853719;0.001279982;0.9273678;0.001669695
0.072;0.928;0.98618661;0.001400578;0.99031296;0.001331523;0.92748808;0.001298912;0.92629277;0.001695035
0.073;0.927;0.98618661;0.001400578;0.99031296;0.001331523;0.92643681;0.001317895;0.92521552;0.001720458
0.074;0.926;0.98618661;0.001400578;0.99031296;0.001331523;0.92538336;0.001336933;0.92413602;0.001745964
0.075;0.925;0.98618661;0.001400578;0.99031296;0.001331523;0.92432767;0.001356026;0.92305424;0.001771554
0.076;0.924;0.98618661;0.001400578;0.99031296;0.001331523;0.92326972;0.001375176;0.92197016;0.001797231
0.077;0.923;0.98618661;0.001400578;0.99031296;0.001331523;0.92220946;0.001394384;0.92088373;0.001822996
0.078;0.922;0.98618661;0.001400578;0.99031296;0.001331523;0.92114686;0.001413651;0.91979493;0.001848849
0.079;0.921;0.98618661;0.001400578;0.99031296;0.001331523;0.92008189;0.00143298;0.91870374;0.001874792
0.08;0.92;0.98618661;0.001400578;0.99031296;0.001331523;0.91901449;0.001452369;0.91761012;0.001900828
0.081;0.919;0.98618661;0.001400578;0.99031296;0.001331523;0.91794464;0.001471822;0.91651404;0.001926956
0.082;0.918;0.98618661;0.001400578;0.99031296;0.001331523;0.9168723;0.001491339;0.91541547;0.001953179
0.083;0.917;0.98618661;0.001400578;0.99031296;0.001331523;0.91579744;0.001510922;0.9143144;0.001979498
0.084;0.916;0.98618661;0.001400578;0.99031296;0.001331523;0.91472001;0.001530571;0.91321077;0.002005915
0.085;0.915;0.98618661;0.001400578;0.99031296;0.001331523;0.91363999;0.001550288;0.91210458;0.00203243
0.086;0.914;0.98618661;0.001400578;0.99031296;0.001331523;0.91255732;0.001570074;0.91099578;0.002059046
0.087;0.913;0.98618661;0.001400578;0.99031296;0.001331523;0.91147199;0.001589931;0.90988435;0.002085763
0.088;0.912;0.98618661;0.001400578;0.99031296;0.001331523;0.91038395;0.00160986;0.90877027;0.002112584
0.089;0.911;0.98618661;0.001400578;0.99031296;0.001331523;0.90929316;0.001629861;0.9076535;0.002139509
0.09;0.91;0.98618661;0.001400578;0.99031296;0.001331523;0.9081996;0.001649937;0.90653401;0.00216654
0.091;0.909;0.98618661;0.001400578;0.99031296;0.001331523;0.90710322;0.001670089;0.90541178;0.002193679
0.092;0.908;0.98618661;0.001400578;0.99031296;0.001331523;0.90600399;0.001690317;0.90428679;0.002220928
0.093;0.907;0.98618661;0.001400578;0.99031296;0.001331523;0.90490188;0.001710623;0.90315899;0.002248287
0.094;0.906;0.98618661;0.001400578;0.99031296;0.001331523;0.90379685;0.001731009;0.90202837;0.002275758
0.095;0.905;0.98618661;0.001400578;0.99031296;0.001331523;0.90268886;0.001751475;0.9008949;0.002303342
0.096;0.904;0.98618661;0.001400578;0.99031296;0.001331523;0.90157789;0.001772024;0.89975854;0.002331042
0.097;0.903;0.98618661;0.001400578;0.99031296;0.001331523;0.90046389;0.001792656;0.89861928;0.002358859
0.098;0.902;0.98618661;0.001400578;0.99031296;0.001331523;0.89934684;0.001813372;0.89747708;0.002386794
0.099;0.901;0.98618661;0.001400578;0.99031296;0.001331523;0.89822669;0.001834175;0.89633193;0.002414849
0.1;0.9;0.98618661;0.001400578;0.99031296;0.001331523;0.89710342;0.001855065;0.89518378;0.002443025
0.101;0.899;0.98618661;0.001400578;0.98913442;0.001345789;0.89597698;0.001876043;0.89403262;0.002471324
0.102;0.898;0.98618661;0.001400578;0.98793089;0.001360371;0.89484736;0.001897112;0.89287842;0.002499747
0.103;0.897;0.98618661;0.001400578;0.98672363;0.001375015;0.89371451;0.001918272;0.89172116;0.002528297
0.104;0.896;0.98618661;0.001400578;0.98551259;0.00138972;0.89257839;0.001939525;0.8905608;0.002556974
0.105;0.895;0.98618661;0.001400578;0.98429773;0.001404487;0.89143899;0.001960872;0.88939732;0.002585781
0.106;0.894;0.98618661;0.001400578;0.98307899;0.001419319;0.89029626;0.001982314;0.88823069;0.002614718
0.107;0.893;0.98618661;0.001400578;0.98185633;0.001434215;0.88915017;0.002003853;0.8870609;0.002643788
0.108;0.892;0.98618661;0.001400578;0.9806297;0.001449178;0.88800069;0.002025491;0.88588791;0.002672992
0.109;0.891;0.98618661;0.001400578;0.97939907;0.001464208;0.88684779;0.002047228;0.8847117;0.002702332
0.11;0.89;0.98618661;0.001400578;0.97816437;0.001479306;0.88569144;0.002069066;0.88353224;0.00273181
0.111;0.889;0.98618661;0.001400578;0.97692558;0.001494474;0.88453159;0.002091007;0.88234951;0.002761426
0.112;0.888;0.98618661;0.001400578;0.97568263;0.001509712;0.88336823;0.002113052;0.88116348;0.002791183
0.113;0.887;0.98618661;0.001400578;0.9744355;0.001525023;0.88220132;0.002135202;0.87997414;0.002821083
0.114;0.886;0.98618661;0.001400578;0.97318413;0.001540406;0.88103083;0.002157459;0.87878145;0.002851127
0.115;0.885;0.98618661;0.001400578;0.97192848;0.001555864;0.87985672;0.002179825;0.87758539;0.002881317
0.116;0.884;0.98618661;0.001400578;0.97066851;0.001571397;0.87867897;0.0022023;0.87638593;0.002911654
0.117;0.883;0.98618661;0.001400578;0.96940417;0.001587006;0.87749755;0.002224886;0.87518306;0.00294214
0.118;0.882;0.98618661;0.001400578;0.96813541;0.001602694;0.87631242;0.002247585;0.87397675;0.002972778
0.119;0.881;0.98618661;0.001400578;0.96686221;0.00161846;0.87512356;0.002270398;0.87276697;0.003003568
0.12;0.88;0.98618661;0.001400578;0.9655845;0.001634307;0.87393093;0.002293326;0.8715537;0.003034513
0.121;0.879;0.98618661;0.001400578;0.96430226;0.001650235;0.87273451;0.002316372;0.87033693;0.003065614
0.122;0.878;0.98618661;0.001400578;0.96301543;0.001666245;0.87153427;0.002339537;0.86911662;0.003096873
0.123;0.877;0.98618661;0.001400578;0.96172399;0.00168234;0.87033017;0.002362822;0.86789275;0.003128292
0.124;0.876;0.98618661;0.001400578;0.96042787;0.001698519;0.86912219;0.002386228;0.8666653;0.003159873
0.125;0.875;0.98618661;0.001400578;0.95912705;0.001714785;0.86791029;0.002409758;0.86543425;0.003191617
0.126;0.874;0.98618661;0.001400578;0.95782149;0.001731138;0.86669446;0.002433413;0.86419957;0.003223526
0.127;0.873;0.98618661;0.001400578;0.95651113;0.001747581;0.86547466;0.002457194;0.86296125;0.003255603
0.128;0.872;0.98618661;0.001400578;0.95519594;0.001764113;0.86425086;0.002481103;0.86171926;0.003287848
0.129;0.871;0.98618661;0.001400578;0.95387589;0.001780737;0.86302303;0.002505142;0.86047358;0.003320265
0.13;0.87;0.98618661;0.001400578;0.95255093;0.001797453;0.86179115;0.002529312;0.85922419;0.003352854
0.131;0.869;0.98618661;0.001400578;0.95122102;0.001814264;0.8605552;0.002553614;0.85797106;0.003385618
0.132;0.868;0.98618661;0.001400578;0.94988612;0.001831169;0.85931513;0.002578051;0.85671418;0.003418558
0.133;0.867;0.98618661;0.001400578;0.9485462;0.001848171;0.85807093;0.002602624;0.85545353;0.003451676
0.134;0.866;0.98618661;0.001400578;0.94720121;0.001865272;0.85682257;0.002627335;0.85418908;0.003484975
0.135;0.865;0.98618661;0.001400578;0.94585111;0.001882471;0.85557002;0.002652185;0.85292081;0.003518457
0.136;0.864;0.98618661;0.001400578;0.94449588;0.001899771;0.85431325;0.002677176;0.85164871;0.003552122
0.137;0.863;0.98618661;0.001400578;0.94313547;0.001917173;0.85305225;0.00270231;0.85037275;0.003585974
0.138;0.862;0.98618661;0.001400578;0.94176984;0.001934678;0.85178698;0.002727588;0.84909292;0.003620014
0.139;0.861;0.98618661;0.001400578;0.94039896;0.001952288;0.85051741;0.002753013;0.84780919;0.003654244
0.14;0.86;0.98618661;0.001400578;0.93902279;0.001970004;0.84924353;0.002778585;0.84652154;0.003688666
0.141;0.859;0.98618661;0.001400578;0.93764129;0.001987827;0.84796531;0.002804306;0.84522996;0.003723283
0.142;0.858;0.98618661;0.001400578;0.93625444;0.002005759;0.84668272;0.002830179;0.84393443;0.003758096
0.143;0.857;0.98618661;0.001400578;0.93486218;0.002023801;0.84539574;0.002856205;0.84263492;0.003793107
0.144;0.856;0.98618661;0.001400578;0.9334645;0.002041955;0.84410435;0.002882386;0.84133143;0.003828319
