XSn;aSn;XCu;aCu;Sn_ideal;Cu_ideal;;;T = 450øC
0;0.0001;1;0.9998;0;1;;;
0.001;5.65E-03;0.999;0.9989931;0.001;0.999;;;
0.002;0.000114498;0.998;0.99797305;0.002;0.998;;;
0.003;0.000174054;0.997;0.99693974;0.003;0.997;;;
0.004;0.000235182;0.996;0.99589324;0.004;0.996;;;
0.005;0.000297906;0.995;0.99483364;0.005;0.995;;;
0.006;0.000362253;0.994;0.99376102;0.006;0.994;;;
0.007;0.000428249;0.993;0.99267547;0.007;0.993;;;
0.008;0.000495919;0.992;0.99157706;0.008;0.992;;;
0.009;0.000565289;0.991;0.99046589;0.009;0.991;;;
0.01;0.000636387;0.99;0.98934204;0.01;0.99;;;
0.011;0.000709238;0.989;0.98820559;0.011;0.989;;;
0.012;0.000783871;0.988;0.98705662;0.012;0.988;;;
0.013;0.000860312;0.987;0.98589523;0.013;0.987;;;
0.014;0.000938589;0.986;0.98472149;0.014;0.986;;;
0.015;0.00101873;0.985;0.9835355;0.015;0.985;;;
0.016;0.001100762;0.984;0.98233734;0.016;0.984;;;
0.017;0.001184714;0.983;0.98112709;0.017;0.983;;;
0.018;0.001270615;0.982;0.97990485;0.018;0.982;;;
0.019;0.001358494;0.981;0.97867069;0.019;0.981;;;
0.02;0.001448378;0.98;0.97742471;0.02;0.98;;;
0.021;0.001540298;0.979;0.97616699;0.021;0.979;;;
0.022;0.001634284;0.978;0.97489762;0.022;0.978;;;
0.023;0.001730364;0.977;0.97361669;0.023;0.977;;;
0.024;0.001828569;0.976;0.97232429;0.024;0.976;;;
0.025;0.001928929;0.975;0.9710205;0.025;0.975;;;
0.026;0.002031474;0.974;0.96970541;0.026;0.974;;;
0.027;0.002136236;0.973;0.96837912;0.027;0.973;;;
0.028;0.002243245;0.972;0.9670417;0.028;0.972;;;
0.029;0.002352533;0.971;0.96569325;0.029;0.971;;;
0.03;0.00246413;0.97;0.96433386;0.03;0.97;;;
0.031;0.00257807;0.969;0.96296361;0.031;0.969;;;
0.032;0.002694382;0.968;0.9615826;0.032;0.968;;;
0.033;0.002813101;0.967;0.96019091;0.033;0.967;;;
0.034;0.002934257;0.966;0.95878864;0.034;0.966;;;
0.035;0.003057885;0.965;0.95737586;0.035;0.965;;;
