xFe;aFe;xAl;aAl
0.00001;2.03127E-06;0.99999;0.99978075
0.001;2.03127E-06;0.999;0.99978075
0.002;2.03127E-06;0.998;0.99978075
0.003;2.03127E-06;0.997;0.99978075
0.004;2.03127E-06;0.996;0.99978075
0.005;2.03127E-06;0.995;0.99978075
0.006;2.03127E-06;0.994;0.99978075
0.007;2.03127E-06;0.993;0.99978075
0.008;2.03127E-06;0.992;0.99978075
0.009;2.03127E-06;0.991;0.99978075
0.01;2.03127E-06;0.99;0.99978075
0.011;2.03127E-06;0.989;0.99978075
0.012;2.03127E-06;0.988;0.99978075
0.013;2.03127E-06;0.987;0.99978075
0.014;2.03127E-06;0.986;0.99978075
0.015;2.03127E-06;0.985;0.99978075
0.016;2.03127E-06;0.984;0.99978075
0.017;2.03127E-06;0.983;0.99978075
0.018;2.03127E-06;0.982;0.99978075
0.019;2.03127E-06;0.981;0.99978075
0.02;2.03127E-06;0.98;0.99978075
0.021;2.03127E-06;0.979;0.99978075
0.022;2.03127E-06;0.978;0.99978075
0.023;2.03127E-06;0.977;0.99978075
0.024;2.03127E-06;0.976;0.99978075
0.025;2.03127E-06;0.975;0.99978075
0.026;2.03127E-06;0.974;0.99978075
0.027;2.03127E-06;0.973;0.99978075
0.028;2.03127E-06;0.972;0.99978075
0.029;2.03127E-06;0.971;0.99978075
0.03;2.03127E-06;0.97;0.99978075
0.031;2.03127E-06;0.969;0.99978075
0.032;2.03127E-06;0.968;0.99978075
0.033;2.03127E-06;0.967;0.99978075
0.034;2.03127E-06;0.966;0.99978075
0.035;2.03127E-06;0.965;0.99978075
0.036;2.03127E-06;0.964;0.99978075
0.037;2.03127E-06;0.963;0.99978075
0.038;2.03127E-06;0.962;0.99978075
0.039;2.03127E-06;0.961;0.99978075
0.04;2.03127E-06;0.96;0.99978075
0.041;2.03127E-06;0.959;0.99978075
0.042;2.03127E-06;0.958;0.99978075
0.043;2.03127E-06;0.957;0.99978075
0.044;2.03127E-06;0.956;0.99978075
0.045;2.03127E-06;0.955;0.99978075
0.046;2.03127E-06;0.954;0.99978075
0.047;2.03127E-06;0.953;0.99978075
0.048;2.03127E-06;0.952;0.99978075
0.049;2.03127E-06;0.951;0.99978075
0.05;2.03127E-06;0.95;0.99978075
0.051;2.03127E-06;0.949;0.99978075
0.052;2.03127E-06;0.948;0.99978075
0.053;2.03127E-06;0.947;0.99978075
0.054;2.03127E-06;0.946;0.99978075
0.055;2.03127E-06;0.945;0.99978075
0.056;2.03127E-06;0.944;0.99978075
0.057;2.03127E-06;0.943;0.99978075
0.058;2.03127E-06;0.942;0.99978075
0.059;2.03127E-06;0.941;0.99978075
0.06;2.03127E-06;0.94;0.99978075
0.061;2.03127E-06;0.939;0.99978075
0.062;2.03127E-06;0.938;0.99978075
0.063;2.03127E-06;0.937;0.99978075
0.064;2.03127E-06;0.936;0.99978075
0.065;2.03127E-06;0.935;0.99978075
0.066;2.03127E-06;0.934;0.99978075
0.067;2.03127E-06;0.933;0.99978075
0.068;2.03127E-06;0.932;0.99978075
0.069;2.03127E-06;0.931;0.99978075
0.07;2.03127E-06;0.93;0.99978075
0.071;2.03127E-06;0.929;0.99978075
0.072;2.03127E-06;0.928;0.99978075
0.073;2.03127E-06;0.927;0.99978075
0.074;2.03127E-06;0.926;0.99978075
0.075;2.03127E-06;0.925;0.99978075
0.076;2.03127E-06;0.924;0.99978075
0.077;2.03127E-06;0.923;0.99978075
0.078;2.03127E-06;0.922;0.99978075
0.079;2.03127E-06;0.921;0.99978075
0.08;2.03127E-06;0.92;0.99978075
0.081;2.03127E-06;0.919;0.99978075
0.082;2.03127E-06;0.918;0.99978075
0.083;2.03127E-06;0.917;0.99978075
0.084;2.03127E-06;0.916;0.99978075
0.085;2.03127E-06;0.915;0.99978075
0.086;2.03127E-06;0.914;0.99978075
0.087;2.03127E-06;0.913;0.99978075
0.088;2.03127E-06;0.912;0.99978075
0.089;2.03127E-06;0.911;0.99978075
0.09;2.03127E-06;0.91;0.99978075
0.091;2.03127E-06;0.909;0.99978075
0.092;2.03127E-06;0.908;0.99978075
0.093;2.03127E-06;0.907;0.99978075
0.094;2.03127E-06;0.906;0.99978075
0.095;2.03127E-06;0.905;0.99978075
0.096;2.03127E-06;0.904;0.99978075
0.097;2.03127E-06;0.903;0.99978075
0.098;2.03127E-06;0.902;0.99978075
0.099;2.03127E-06;0.901;0.99978075
0.10;2.03127E-06;0.90;0.99978075
0.101;2.03127E-06;0.899;0.99978075
0.102;2.03127E-06;0.898;0.99978075
0.103;2.03127E-06;0.897;0.99978075
0.104;2.03127E-06;0.896;0.99978075
0.105;2.03127E-06;0.895;0.99978075
0.106;2.03127E-06;0.894;0.99978075
0.107;2.03127E-06;0.893;0.99978075
0.108;2.03127E-06;0.892;0.99978075
0.109;2.03127E-06;0.891;0.99978075
0.11;2.03127E-06;0.89;0.99978075
0.111;2.03127E-06;0.889;0.99978075
0.112;2.03127E-06;0.888;0.99978075
0.113;2.03127E-06;0.887;0.99978075
0.114;2.03127E-06;0.886;0.99978075
0.115;2.03127E-06;0.885;0.99978075
0.116;2.03127E-06;0.884;0.99978075
0.117;2.03127E-06;0.883;0.99978075
0.118;2.03127E-06;0.882;0.99978075
0.119;2.03127E-06;0.881;0.99978075
0.12;2.03127E-06;0.88;0.99978075
0.121;2.03127E-06;0.879;0.99978075
0.122;2.03127E-06;0.878;0.99978075
0.123;2.03127E-06;0.877;0.99978075
0.124;2.03127E-06;0.876;0.99978075
0.125;2.03127E-06;0.875;0.99978075
0.126;2.03127E-06;0.874;0.99978075
0.127;2.03127E-06;0.873;0.99978075
0.128;2.03127E-06;0.872;0.99978075
0.129;2.03127E-06;0.871;0.99978075
0.13;2.03127E-06;0.87;0.99978075
0.131;2.03127E-06;0.869;0.99978075
0.132;2.03127E-06;0.868;0.99978075
0.133;2.03127E-06;0.867;0.99978075
0.134;2.03127E-06;0.866;0.99978075
0.135;2.03127E-06;0.865;0.99978075
0.136;2.03127E-06;0.864;0.99978075
0.137;2.03127E-06;0.863;0.99978075
0.138;2.03127E-06;0.862;0.99978075
0.139;2.03127E-06;0.861;0.99978075
0.14;2.03127E-06;0.86;0.99978075
0.141;2.03127E-06;0.859;0.99978075
0.142;2.03127E-06;0.858;0.99978075
0.143;2.03127E-06;0.857;0.99978075
0.144;2.03127E-06;0.856;0.99978075
0.145;2.03127E-06;0.855;0.99978075
0.146;2.03127E-06;0.854;0.99978075
0.147;2.03127E-06;0.853;0.99978075
0.148;2.03127E-06;0.852;0.99978075
0.149;2.03127E-06;0.851;0.99978075
0.15;2.03127E-06;0.85;0.99978075
0.151;2.03127E-06;0.849;0.99978075
0.152;2.03127E-06;0.848;0.99978075
0.153;2.03127E-06;0.847;0.99978075
0.154;2.03127E-06;0.846;0.99978075
0.155;2.03127E-06;0.845;0.99978075
0.156;2.03127E-06;0.844;0.99978075
0.157;2.03127E-06;0.843;0.99978075
0.158;2.03127E-06;0.842;0.99978075
0.159;2.03127E-06;0.841;0.99978075
0.16;2.03127E-06;0.84;0.99978075
0.161;2.03127E-06;0.839;0.99978075
0.162;2.03127E-06;0.838;0.99978075
0.163;2.03127E-06;0.837;0.99978075
0.164;2.03127E-06;0.836;0.99978075
0.165;2.03127E-06;0.835;0.99978075
0.166;2.03127E-06;0.834;0.99978075
0.167;2.03127E-06;0.833;0.99978075
0.168;2.03127E-06;0.832;0.99978075
0.169;2.03127E-06;0.831;0.99978075
0.17;2.03127E-06;0.83;0.99978075
0.171;2.03127E-06;0.829;0.99978075
0.172;2.03127E-06;0.828;0.99978075
0.173;2.03127E-06;0.827;0.99978075
0.174;2.03127E-06;0.826;0.99978075
0.175;2.03127E-06;0.825;0.99978075
0.176;2.03127E-06;0.824;0.99978075
0.177;2.03127E-06;0.823;0.99978075
0.178;2.03127E-06;0.822;0.99978075
0.179;2.03127E-06;0.821;0.99978075
0.18;2.03127E-06;0.82;0.99978075
0.181;2.03127E-06;0.819;0.99978075
0.182;2.03127E-06;0.818;0.99978075
0.183;2.03127E-06;0.817;0.99978075
0.184;2.03127E-06;0.816;0.99978075
0.185;2.03127E-06;0.815;0.99978075
0.186;2.03127E-06;0.814;0.99978075
0.187;2.03127E-06;0.813;0.99978075
0.188;2.03127E-06;0.812;0.99978075
0.189;2.03127E-06;0.811;0.99978075
0.19;2.03127E-06;0.81;0.99978075
0.191;2.03127E-06;0.809;0.99978075
0.192;2.03127E-06;0.808;0.99978075
0.193;2.03127E-06;0.807;0.99978075
0.194;2.03127E-06;0.806;0.99978075
0.195;2.03127E-06;0.805;0.99978075
0.196;2.03127E-06;0.804;0.99978075
0.197;2.03127E-06;0.803;0.99978075
0.198;2.03127E-06;0.802;0.99978075
0.199;2.03127E-06;0.801;0.99978075
0.20;2.03127E-06;0.80;0.99978075
0.201;2.03127E-06;0.799;0.99978075
0.202;2.03127E-06;0.798;0.99978075
0.203;2.03127E-06;0.797;0.99978075
0.204;2.03127E-06;0.796;0.99978075
0.205;2.03127E-06;0.795;0.99978075
0.206;2.03127E-06;0.794;0.99978075
0.207;2.03127E-06;0.793;0.99978075
0.208;2.03127E-06;0.792;0.99978075
0.209;2.03127E-06;0.791;0.99978075
0.21;2.03127E-06;0.79;0.99978075
0.211;2.03127E-06;0.789;0.99978075
0.212;2.03127E-06;0.788;0.99978075
0.213;2.03127E-06;0.787;0.99978075
0.214;2.03127E-06;0.786;0.99978075
0.215;2.03127E-06;0.785;0.99978075
0.216;2.03127E-06;0.784;0.99978075
0.217;2.03127E-06;0.783;0.99978075
0.218;2.03127E-06;0.782;0.99978075
0.219;2.03127E-06;0.781;0.99978075
0.22;2.03127E-06;0.78;0.99978075
0.221;2.03127E-06;0.779;0.99978075
0.222;2.03127E-06;0.778;0.99978075
0.223;2.03127E-06;0.777;0.99978075
0.224;2.03127E-06;0.776;0.99978075
0.225;2.03127E-06;0.775;0.99978075
0.226;2.03127E-06;0.774;0.99978075
0.227;2.03127E-06;0.773;0.99978075
0.228;2.03127E-06;0.772;0.99978075
0.229;2.03127E-06;0.771;0.99978075
0.23;2.03127E-06;0.77;0.99978075
0.231;2.03127E-06;0.769;0.99978075
0.232;2.03127E-06;0.768;0.99978075
0.233;2.03127E-06;0.767;0.99978075
0.234;2.03127E-06;0.766;0.99978075
0.235;2.03127E-06;0.765;0.99978075
0.236;2.03127E-06;0.764;0.99978075
