XFe;aFe;Xal;aAl
0;1.00E-07;1;0.99999
0.001;1.95E-06;0.999;0.9989939
0.002;3.94E-06;0.998;0.99797563
0.003;5.98E-06;0.997;0.99694519
0.004;8.07271E-06;0.996;0.99590261
0.005;1.02146E-05;0.995;0.99484789
0.006;1.24078E-05;0.994;0.99378107
0.007;1.46533E-05;0.993;0.99270215
0.008;1.69519E-05;0.992;0.99161115
0.009;1.93046E-05;0.991;0.99050811
0.01;2.17124E-05;0.99;0.98939302
0.011;2.41762E-05;0.989;0.98826592
0.012;2.66971E-05;0.988;0.98712682
0.013;2.92761E-05;0.987;0.98597575
0.014;3.19143E-05;0.986;0.98481273
0.015;3.46126E-05;0.985;0.98363778
0.016;3.73721E-05;0.984;0.98245092
0.017;4.01939E-05;0.983;0.98125218
0.018;4.30791E-05;0.982;0.98004158
0.019;4.60289E-05;0.981;0.97881914
0.02;4.90443E-05;0.98;0.97758489
0.021;5.21265E-05;0.979;0.97633885
0.022;5.52767E-05;0.978;0.97508105
0.023;5.84961E-05;0.977;0.97381152
0.024;6.17858E-05;0.976;0.97253028
0.025;6.51471E-05;0.975;0.97123736
0.026;6.85812E-05;0.974;0.96993278
0.027;7.20895E-05;0.973;0.96861658
0.028;7.56731E-05;0.972;0.96728879
0.029;7.93333E-05;0.971;0.96594943
0.03;8.30716E-05;0.97;0.96459853
0.031;8.68891E-05;0.969;0.96323612
0.032;9.07874E-05;0.968;0.96186224
0.033;9.47678E-05;0.967;0.96047691
0.034;9.88316E-05;0.966;0.95908017
0.035;0.00010298;0.965;0.95767205
0.036;0.000107215;0.964;0.95625258
0.037;0.000111538;0.963;0.95482179
0.038;0.00011595;0.962;0.95337972
0.039;0.000120453;0.961;0.95192641
0.04;0.000125049;0.96;0.95046188
0.041;0.000129738;0.959;0.94898618
0.042;0.000134523;0.958;0.94749933
0.043;0.000139405;0.957;0.94600138
0.044;0.000144385;0.956;0.94449236
0.045;0.000149466;0.955;0.94297231
0.046;0.000154649;0.954;0.94144126
0.047;0.000159936;0.953;0.93989926
0.048;0.000165328;0.952;0.93834634
0.049;0.000170828;0.951;0.93678254
0.05;0.000176437;0.95;0.93520791
0.051;0.000182156;0.949;0.93362248
0.052;0.000187988;0.948;0.93202629
0.053;0.000193935;0.947;0.93041939
0.054;0.0001999;0.946;0.92882766
0.055;0.0001999;0.945;0.92882766
0.056;0.0001999;0.944;0.92882766
0.057;0.0001999;0.943;0.92882766
0.058;0.0001999;0.942;0.92882766
0.059;0.0001999;0.941;0.92882766
0.06;0.0001999;0.94;0.92882766
0.061;0.0001999;0.939;0.92882766
0.062;0.0001999;0.938;0.92882766
0.063;0.0001999;0.937;0.92882766
0.064;0.0001999;0.936;0.92882766
0.065;0.0001999;0.935;0.92882766
0.066;0.0001999;0.934;0.92882766
0.067;0.0001999;0.933;0.92882766
0.068;0.0001999;0.932;0.92882766
0.069;0.0001999;0.931;0.92882766
0.07;0.0001999;0.93;0.92882766
0.071;0.0001999;0.929;0.92882766
0.072;0.0001999;0.928;0.92882766
0.073;0.0001999;0.927;0.92882766
0.074;0.0001999;0.926;0.92882766
0.075;0.0001999;0.925;0.92882766
0.076;0.0001999;0.924;0.92882766
0.077;0.0001999;0.923;0.92882766
0.078;0.0001999;0.922;0.92882766
0.079;0.0001999;0.921;0.92882766
0.08;0.0001999;0.92;0.92882766
0.081;0.0001999;0.919;0.92882766
0.082;0.0001999;0.918;0.92882766
0.083;0.0001999;0.917;0.92882766
0.084;0.0001999;0.916;0.92882766
0.085;0.0001999;0.915;0.92882766
0.086;0.0001999;0.914;0.92882766
0.087;0.0001999;0.913;0.92882766
0.088;0.0001999;0.912;0.92882766
0.089;0.0001999;0.911;0.92882766
0.09;0.0001999;0.91;0.92882766
0.091;0.0001999;0.909;0.92882766
0.092;0.0001999;0.908;0.92882766
0.093;0.0001999;0.907;0.92882766
0.094;0.0001999;0.906;0.92882766
