X_Cu;X_Al;a-Al(700);a-Cu(700)
0;1;0.9991;1.80E-05
0.001;0.999;0.99900041;1.81E-05
0.002;0.998;0.99800162;3.62E-05
0.003;0.997;0.99700357;5.42E-05
0.004;0.996;0.99600623;7.22E-05
0.005;0.995;0.99500954;9.02E-05
0.006;0.994;0.99401348;0.000108216
0.007;0.993;0.99301798;0.000126165
0.008;0.992;0.99202302;0.000144091
0.009;0.991;0.99102853;0.000161997
0.01;0.99;0.99003449;0.000179883
0.011;0.989;0.98904085;0.000197751
0.012;0.988;0.98804755;0.000215602
0.013;0.987;0.98705457;0.000233436
0.014;0.986;0.98606185;0.000251256
0.015;0.985;0.98506935;0.000269063
0.016;0.984;0.98407703;0.000286857
0.017;0.983;0.98308485;0.000304639
0.018;0.982;0.98209275;0.000322412
0.019;0.981;0.98110071;0.000340175
0.02;0.98;0.98010867;0.000357931
0.021;0.979;0.97911659;0.00037568
0.022;0.978;0.97812444;0.000393424
0.023;0.977;0.97713216;0.000411164
0.024;0.976;0.97613971;0.0004289
0.025;0.975;0.97514705;0.000446634
0.026;0.974;0.97415414;0.000464367
0.027;0.973;0.97316094;0.000482101
0.028;0.972;0.9721674;0.000499836
0.029;0.971;0.97117348;0.000517574
0.03;0.97;0.97017914;0.000535315
0.031;0.969;0.96918433;0.000553061
0.032;0.968;0.96818902;0.000570814
0.033;0.967;0.96719316;0.000588573
0.034;0.966;0.96619671;0.000606341
0.035;0.965;0.96519963;0.000624118
0.036;0.964;0.96420187;0.000641905
0.037;0.963;0.96320339;0.000659705
0.038;0.962;0.96220416;0.000677517
0.039;0.961;0.96120413;0.000695343
0.04;0.96;0.96020326;0.000713184
0.041;0.959;0.95920151;0.000731041
0.042;0.958;0.95819883;0.000748916
0.043;0.957;0.95719519;0.000766809
0.044;0.956;0.95619054;0.000784722
0.045;0.955;0.95518485;0.000802656
0.046;0.954;0.95417806;0.000820612
0.047;0.953;0.95317015;0.00083859
0.048;0.952;0.95216107;0.000856593
0.049;0.951;0.95115078;0.000874622
0.05;0.95;0.95013924;0.000892676
0.051;0.949;0.94912641;0.000910759
0.052;0.948;0.94811224;0.00092887
0.053;0.947;0.94709671;0.000947011
