;;900°C;;650°C;
XAl;XFe;Fe;Al;Fe;Al
1;0;0.000010;0.999000;0.000010;0.999781
0.999;0.001;0.000010;0.998000;0.000010;0.999781
0.998;0.002;0.000010;0.997976;0.000010;0.999781
0.997;0.003;0.000010;0.996945;0.000010;0.999781
0.996;0.004;0.000010;0.995903;0.000010;0.999781
0.995;0.005;0.000010;0.994848;0.000010;0.999781
0.994;0.006;0.000012;0.993781;0.000010;0.999781
0.993;0.007;0.000015;0.992702;0.000010;0.999781
0.992;0.008;0.000017;0.991611;0.000010;0.999781
0.991;0.009;0.000019;0.990508;0.000010;0.999781
0.99;0.01;0.000022;0.989393;0.000010;0.999781
0.989;0.011;0.000024;0.988266;0.000010;0.999781
0.988;0.012;0.000027;0.987127;0.000010;0.999781
0.987;0.013;0.000029;0.985976;0.000010;0.999781
0.986;0.014;0.000032;0.984813;0.000010;0.999781
0.985;0.015;0.000035;0.983638;0.000010;0.999781
0.984;0.016;0.000037;0.982451;0.000010;0.999781
0.983;0.017;0.000040;0.981252;0.000010;0.999781
0.982;0.018;0.000043;0.980042;0.000010;0.999781
0.981;0.019;0.000046;0.978819;0.000010;0.999781
0.98;0.02;0.000049;0.977585;0.000010;0.999781
0.979;0.021;0.000052;0.976339;0.000010;0.999781
0.978;0.022;0.000055;0.975081;0.000010;0.999781
0.977;0.023;0.000058;0.973812;0.000010;0.999781
0.976;0.024;0.000062;0.972530;0.000010;0.999781
0.975;0.025;0.000065;0.971237;0.000010;0.999781
0.974;0.026;0.000069;0.969933;0.000010;0.999781
0.973;0.027;0.000072;0.968617;0.000010;0.999781
0.972;0.028;0.000076;0.967289;0.000010;0.999781
0.971;0.029;0.000079;0.965949;0.000010;0.999781
0.97;0.03;0.000083;0.964599;0.000010;0.999781
0.969;0.031;0.000087;0.963236;0.000010;0.999781
0.968;0.032;0.000091;0.961862;0.000010;0.999781
0.967;0.033;0.000095;0.960477;0.000010;0.999781
0.966;0.034;0.000099;0.959080;0.000010;0.999781
0.965;0.035;0.000103;0.957672;0.000010;0.999781
